Country,Actor_1,Actor_2,QH_Category_1,QH_Category_2,Weight
CAN,Alberta Technology and Innovation Strategy,University of Lethbridge,Government,Academia,1
CAN,Alliance,Anyon Systems,not an actor,Industry,1
CAN,Alliance,BDC Deep Tech Venture Fund,not an actor,not an actor,1
CAN,Alliance,Bank of Canada,not an actor,Government,1
CAN,Alliance,CERC,not an actor,not an actor,1
CAN,Alliance,CSE,not an actor,Government,1
CAN,Alliance,Canada Excellence Research Chairs Program,not an actor,not an actor,1
CAN,Alliance,Canada Foundation for Innovation,not an actor,Government,1
CAN,Alliance,Communications Security Establishment,not an actor,Government,1
CAN,Alliance,Council,not an actor,not specfied,1
CAN,Alliance,Creative Destruction Lab,not an actor,Civil Society,1
CAN,Alliance,D-Wave,not an actor,Industry,1
CAN,Alliance,DND,not an actor,Government,1
CAN,Alliance,DRDC,not an actor,Government,1
CAN,Alliance,Defence Research and Development Canada,not an actor,Government,1
CAN,Alliance,Department of National Defence,not an actor,Government,1
CAN,Alliance,European Commission,not an actor,Government,1
CAN,Alliance,Global Affairs Canada,not an actor,Government,1
CAN,Alliance,Government of Quebec,not an actor,Government,1
CAN,Alliance,Horizon Europe,not an actor,not an actor,1
CAN,Alliance,IBM,not an actor,Industry,1
CAN,Alliance,IBM Q System One,not an actor,not an actor,1
CAN,Alliance,IBM Quantum Hub,not an actor,Industry,1
CAN,Alliance,IDEaS,not an actor,not an actor,1
CAN,Alliance,IQC,not an actor,Academia,1
CAN,Alliance,ISED,not an actor,Government,1
CAN,Alliance,Innovation for Defence Excellence and Security,not an actor,not an actor,1
CAN,Alliance,"Innovation, Science and Economic Development Canada",not an actor,Government,1
CAN,Alliance,Institut Quantique,not an actor,Academia,1
CAN,Alliance,Institute for Quantum Computing,not an actor,Academia,1
CAN,Alliance,Internet of Things,not an actor,not an actor,1
CAN,Alliance,Invest in Canada,not an actor,Government,1
CAN,Alliance,Mitacs,not an actor,Civil Society,1
CAN,Alliance,NSERC CREATE,not an actor,not an actor,1
CAN,Alliance,National Quantum Strategy,not an actor,not an actor,1
CAN,Alliance,PTs,not an actor,not an actor,1
CAN,Alliance,PennyLane,not an actor,not an actor,1
CAN,Alliance,Perimeter Institute,not an actor,Academia,1
CAN,Alliance,Quantum Advisory Council,not an actor,Government,1
CAN,Alliance,Quantum Industry Canada,not an actor,Civil Society,1
CAN,Alliance,Quantum Technologies Competition,not an actor,not an actor,1
CAN,Alliance,Quantum Valley Ideas Lab,not an actor,Civil Society,1
CAN,Alliance,Regional Business Network,not an actor,not specified,1
CAN,Alliance,S&T,not an actor,not an actor,1
CAN,Alliance,S&T Strategy,not an actor,not an actor,1
CAN,Alliance,SSHRC,not an actor,Government,1
CAN,Alliance,Secure Networks Challenge Program,not an actor,not an actor,1
CAN,Alliance,Sherbrooke Quantum Innovation Zone,not an actor,Civil Society,1
CAN,Alliance,Social Sciences and Humanities Research Council,not an actor,Government,1
CAN,Alliance,Statistics Canada,not an actor,Government,1
CAN,Alliance,Stewart Blusson Quantum Matter Institute,not an actor,Academia,1
CAN,Alliance,TCS,not an actor,Government,1
CAN,Alliance,The Department of National Defence and Canadian Armed Forces Quantum Science and Technology (S&T) Strategy,not an actor,not an actor,1
CAN,Alliance,Trade Commissioner Service,not an actor,Government,1
CAN,Alliance,Tri-Agency EDI Action Plan,not an actor,not an actor,1
CAN,Alliance,U.S. National Science Foundation,not an actor,Government,1
CAN,Alliance,UK Research and Innovation (UKRI),not an actor,Government,1
CAN,Alliance,UKRI,not an actor,Government,1
CAN,Alliance,University of Waterloo,not an actor,Academia,1
CAN,Alliance,Université de Sherbrooke,not an actor,Academia,1
CAN,Alliance,World Economic Forum,not an actor,Civil Society,1
CAN,Alliance,Xanadu,not an actor,Industry,1
CAN,Alliance International,BDC,not an actor,Government,1
CAN,Alliance International,Budget 2022,not an actor,not an actor,1
CAN,Alliance International,Business Development Bank of Canada,not an actor,Government,1
CAN,Alliance International,C2MI,not an actor,Civil Society,1
CAN,Alliance International,CED,not an actor,Government,1
CAN,Alliance International,CFI,not an actor,Government,1
CAN,Alliance International,Canada Economic Development for Quebec Regions,not an actor,Government,1
CAN,Alliance International,Canada Foundation for Innovation,not an actor,Government,1
CAN,Alliance International,Canadian Armed Forces,not an actor,Government,1
CAN,Alliance International,Canadian Institute for Advanced Research CIFAR,not an actor,Academia,1
CAN,Alliance International,Canadian International Innovation Program,not an actor,not an actor,1
CAN,Alliance International,Commercialization Stakeholders,not an actor,not specfied,1
CAN,Alliance International,Deep Tech Venture Fund,not an actor,not an actor,1
CAN,Alliance International,EDI,not an actor,not an actor,1
CAN,Alliance International,ESDC,not an actor,Government,1
CAN,Alliance International,Employment and Social Development Canada,not an actor,Government,1
CAN,Alliance International,FedDev Ontario,not an actor,Government,1
CAN,Alliance International,Federal Economic Development Agency for Southern Ontario,not an actor,Government,1
CAN,Alliance International,GAC,not an actor,Government,1
CAN,Alliance International,Global Affairs Canada,not an actor,Government,1
CAN,Alliance International,Global Innovation Clusters,not an actor,not an actor,1
CAN,Alliance International,Government of Canada,not an actor,Government,1
CAN,Alliance International,IDEaS Innovation for Defence Excellence and Security,not an actor,not an actor,1
CAN,Alliance International,IRAP,not an actor,Government,1
CAN,Alliance International,ISC,not an actor,not an actor,1
CAN,Alliance International,"Immigration, Refugees and Citizenship Canada",not an actor,Government,1
CAN,Alliance International,Innovative Solutions Canada,not an actor,not an actor,1
CAN,Alliance International,International Summer School for Young Physicists,not an actor,not an actor,1
CAN,Alliance International,MiQro Innovation Collaborative Center,not an actor,Civil Society,1
CAN,Alliance International,Mitacs Accelerate International,not an actor,not an actor,1
CAN,Alliance International,NQS,not an actor,not an actor,1
CAN,Alliance International,NRC IRAP,not an actor,Government,1
CAN,Alliance International,NRC’s Industrial Research Assistance Program,not an actor,Government,1
CAN,Alliance International,NSF,not an actor,Government,1
CAN,Alliance International,National Science Foundation,not an actor,Government,1
CAN,Alliance International,National Security Guidelines for Research Partnerships,not an actor,not an actor,1
CAN,Alliance International,National Security Review of Investments,not an actor,not an actor,1
CAN,Alliance International,Nord Quantique,not an actor,Industry,1
CAN,Alliance International,PSI Start program,not an actor,not an actor,1
CAN,Alliance International,PacifiCan,not an actor,Government,1
CAN,Alliance International,Perimeter,not an actor,Academia,1
CAN,Alliance International,PrairiesCan,not an actor,Government,1
CAN,Alliance International,Public Service Commission of Canada,not an actor,Government,1
CAN,Alliance International,QEYSSat,not an actor,not an actor,1
CAN,Alliance International,Quantum Algorithms Institute,not an actor,Civil Society,1
CAN,Alliance International,Quantum Computing,not an actor,not an actor,1
CAN,Alliance International,Quantum Encryption and Science Satellite,not an actor,not an actor,1
CAN,Alliance International,REGI,not an actor,not an actor,1
CAN,Alliance International,Regional Economic Growth through Innovation program,not an actor,not an actor,1
CAN,Alliance International,SIF,not an actor,not an actor,1
CAN,Alliance International,Standards Council of Canada,not an actor,Government,1
CAN,Alliance International,Strategic Innovation Fund,not an actor,not an actor,1
CAN,Alliance International,The National Quantum Strategy,not an actor,not an actor,1
CAN,Alliance International,WD,not an actor,Government,1
CAN,Alliance International,Western Economic Diversification,not an actor,Government,1
CAN,Alliance International,pillar RESEARCH PILLAR Research,not an actor,not specified,1
CAN,Anyon Systems,BDC Deep Tech Venture Fund,Industry,not an actor,1
CAN,Anyon Systems,Bank of Canada,Industry,Government,1
CAN,Anyon Systems,CERC,Industry,not an actor,1
CAN,Anyon Systems,CSE,Industry,Government,1
CAN,Anyon Systems,Canada Excellence Research Chairs Program,Industry,not an actor,1
CAN,Anyon Systems,Canada Foundation for Innovation,Industry,Government,1
CAN,Anyon Systems,Communications Security Establishment,Industry,Government,1
CAN,Anyon Systems,Council,Industry,not specfied,1
CAN,Anyon Systems,Creative Destruction Lab,Industry,Civil Society,1
CAN,Anyon Systems,D-Wave,Industry,Industry,1
CAN,Anyon Systems,DND,Industry,Government,1
CAN,Anyon Systems,DRDC,Industry,Government,1
CAN,Anyon Systems,Defence Research and Development Canada,Industry,Government,1
CAN,Anyon Systems,Department of National Defence,Industry,Government,1
CAN,Anyon Systems,European Commission,Industry,Government,1
CAN,Anyon Systems,Global Affairs Canada,Industry,Government,1
CAN,Anyon Systems,Government of Quebec,Industry,Government,1
CAN,Anyon Systems,Horizon Europe,Industry,not an actor,1
CAN,Anyon Systems,IBM,Industry,Industry,1
CAN,Anyon Systems,IBM Q System One,Industry,not an actor,1
CAN,Anyon Systems,IBM Quantum Hub,Industry,Industry,1
CAN,Anyon Systems,IDEaS,Industry,not an actor,1
CAN,Anyon Systems,IQC,Industry,Academia,1
CAN,Anyon Systems,ISED,Industry,Government,1
CAN,Anyon Systems,Innovation for Defence Excellence and Security,Industry,not an actor,1
CAN,Anyon Systems,"Innovation, Science and Economic Development Canada",Industry,Government,1
CAN,Anyon Systems,Institut Quantique,Industry,Academia,1
CAN,Anyon Systems,Institute for Quantum Computing,Industry,Academia,1
CAN,Anyon Systems,Internet of Things,Industry,not an actor,1
CAN,Anyon Systems,Invest in Canada,Industry,Government,1
CAN,Anyon Systems,Mitacs,Industry,Civil Society,1
CAN,Anyon Systems,NSERC CREATE,Industry,not an actor,1
CAN,Anyon Systems,National Quantum Strategy,Industry,not an actor,1
CAN,Anyon Systems,PTs,Industry,not an actor,1
CAN,Anyon Systems,PennyLane,Industry,not an actor,1
CAN,Anyon Systems,Perimeter Institute,Industry,Academia,1
CAN,Anyon Systems,Quantum Advisory Council,Industry,Government,1
CAN,Anyon Systems,Quantum Industry Canada,Industry,Civil Society,1
CAN,Anyon Systems,Quantum Technologies Competition,Industry,not an actor,1
CAN,Anyon Systems,Quantum Valley Ideas Lab,Industry,Civil Society,1
CAN,Anyon Systems,Regional Business Network,Industry,not specified,1
CAN,Anyon Systems,S&T,Industry,not an actor,1
CAN,Anyon Systems,S&T Strategy,Industry,not an actor,1
CAN,Anyon Systems,SSHRC,Industry,Government,1
CAN,Anyon Systems,Secure Networks Challenge Program,Industry,not an actor,1
CAN,Anyon Systems,Sherbrooke Quantum Innovation Zone,Industry,Civil Society,1
CAN,Anyon Systems,Social Sciences and Humanities Research Council,Industry,Government,1
CAN,Anyon Systems,Statistics Canada,Industry,Government,1
CAN,Anyon Systems,Stewart Blusson Quantum Matter Institute,Industry,Academia,1
CAN,Anyon Systems,TCS,Industry,Government,1
CAN,Anyon Systems,The Department of National Defence and Canadian Armed Forces Quantum Science and Technology (S&T) Strategy,Industry,not an actor,1
CAN,Anyon Systems,Trade Commissioner Service,Industry,Government,1
CAN,Anyon Systems,Tri-Agency EDI Action Plan,Industry,not an actor,1
CAN,Anyon Systems,U.S. National Science Foundation,Industry,Government,1
CAN,Anyon Systems,UK Research and Innovation (UKRI),Industry,Government,1
CAN,Anyon Systems,UKRI,Industry,Government,1
CAN,Anyon Systems,University of Waterloo,Industry,Academia,1
CAN,Anyon Systems,Université de Sherbrooke,Industry,Academia,1
CAN,Anyon Systems,World Economic Forum,Industry,Civil Society,1
CAN,Anyon Systems,Xanadu,Industry,Industry,1
CAN,BDC,Budget 2022,Government,not an actor,1
CAN,BDC,Business Development Bank of Canada,Government,Government,1
CAN,BDC,C2MI,Government,Civil Society,1
CAN,BDC,CED,Government,Government,1
CAN,BDC,CFI,Government,Government,1
CAN,BDC,Canada Economic Development for Quebec Regions,Government,Government,1
CAN,BDC,Canada Foundation for Innovation,Government,Government,1
CAN,BDC,Canadian Armed Forces,Government,Government,1
CAN,BDC,Canadian Institute for Advanced Research CIFAR,Government,Academia,1
CAN,BDC,Canadian International Innovation Program,Government,not an actor,1
CAN,BDC,Commercialization Stakeholders,Government,not specfied,1
CAN,BDC,Deep Tech Venture Fund,Government,not an actor,1
CAN,BDC,EDI,Government,not an actor,1
CAN,BDC,ESDC,Government,Government,1
CAN,BDC,Employment and Social Development Canada,Government,Government,1
CAN,BDC,FedDev Ontario,Government,Government,1
CAN,BDC,Federal Economic Development Agency for Southern Ontario,Government,Government,1
CAN,BDC,GAC,Government,Government,1
CAN,BDC,Global Affairs Canada,Government,Government,1
CAN,BDC,Global Innovation Clusters,Government,not an actor,1
CAN,BDC,Government of Canada,Government,Government,1
CAN,BDC,IDEaS Innovation for Defence Excellence and Security,Government,not an actor,1
CAN,BDC,IRAP,Government,Government,1
CAN,BDC,ISC,Government,not an actor,1
CAN,BDC,"Immigration, Refugees and Citizenship Canada",Government,Government,1
CAN,BDC,Innovative Solutions Canada,Government,not an actor,1
CAN,BDC,International Summer School for Young Physicists,Government,not an actor,1
CAN,BDC,MiQro Innovation Collaborative Center,Government,Civil Society,1
CAN,BDC,Mitacs Accelerate International,Government,not an actor,1
CAN,BDC,NQS,Government,not an actor,1
CAN,BDC,NRC IRAP,Government,Government,1
CAN,BDC,NRC’s Industrial Research Assistance Program,Government,Government,1
CAN,BDC,NSF,Government,Government,1
CAN,BDC,National Science Foundation,Government,Government,1
CAN,BDC,National Security Guidelines for Research Partnerships,Government,not an actor,1
CAN,BDC,National Security Review of Investments,Government,not an actor,1
CAN,BDC,Nord Quantique,Government,Industry,1
CAN,BDC,PSI Start program,Government,not an actor,1
CAN,BDC,PacifiCan,Government,Government,1
CAN,BDC,Perimeter,Government,Academia,1
CAN,BDC,PrairiesCan,Government,Government,1
CAN,BDC,Public Service Commission of Canada,Government,Government,1
CAN,BDC,QEYSSat,Government,not an actor,1
CAN,BDC,Quantum Algorithms Institute,Government,Civil Society,1
CAN,BDC,Quantum Computing,Government,not an actor,1
CAN,BDC,Quantum Encryption and Science Satellite,Government,not an actor,1
CAN,BDC,REGI,Government,not an actor,1
CAN,BDC,Regional Economic Growth through Innovation program,Government,not an actor,1
CAN,BDC,SIF,Government,not an actor,1
CAN,BDC,Standards Council of Canada,Government,Government,1
CAN,BDC,Strategic Innovation Fund,Government,not an actor,1
CAN,BDC,The National Quantum Strategy,Government,not an actor,1
CAN,BDC,WD,Government,Government,1
CAN,BDC,Western Economic Diversification,Government,Government,1
CAN,BDC,pillar RESEARCH PILLAR Research,Government,not specified,1
CAN,BDC Deep Tech Venture Fund,Bank of Canada,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,CERC,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,CSE,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Canada Excellence Research Chairs Program,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,Canada Foundation for Innovation,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Communications Security Establishment,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Council,not an actor,not specfied,1
CAN,BDC Deep Tech Venture Fund,Creative Destruction Lab,not an actor,Civil Society,1
CAN,BDC Deep Tech Venture Fund,D-Wave,not an actor,Industry,1
CAN,BDC Deep Tech Venture Fund,DND,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,DRDC,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Defence Research and Development Canada,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Department of National Defence,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,European Commission,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Global Affairs Canada,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Government of Quebec,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Horizon Europe,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,IBM,not an actor,Industry,1
CAN,BDC Deep Tech Venture Fund,IBM Q System One,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,IBM Quantum Hub,not an actor,Industry,1
CAN,BDC Deep Tech Venture Fund,IDEaS,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,IQC,not an actor,Academia,1
CAN,BDC Deep Tech Venture Fund,ISED,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Innovation for Defence Excellence and Security,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,"Innovation, Science and Economic Development Canada",not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Institut Quantique,not an actor,Academia,1
CAN,BDC Deep Tech Venture Fund,Institute for Quantum Computing,not an actor,Academia,1
CAN,BDC Deep Tech Venture Fund,Internet of Things,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,Invest in Canada,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Mitacs,not an actor,Civil Society,1
CAN,BDC Deep Tech Venture Fund,NSERC CREATE,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,National Quantum Strategy,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,PTs,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,PennyLane,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,Perimeter Institute,not an actor,Academia,1
CAN,BDC Deep Tech Venture Fund,Quantum Advisory Council,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Quantum Industry Canada,not an actor,Civil Society,1
CAN,BDC Deep Tech Venture Fund,Quantum Technologies Competition,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,Quantum Valley Ideas Lab,not an actor,Civil Society,1
CAN,BDC Deep Tech Venture Fund,Regional Business Network,not an actor,not specified,1
CAN,BDC Deep Tech Venture Fund,S&T,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,S&T Strategy,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,SSHRC,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Secure Networks Challenge Program,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,Sherbrooke Quantum Innovation Zone,not an actor,Civil Society,1
CAN,BDC Deep Tech Venture Fund,Social Sciences and Humanities Research Council,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Statistics Canada,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Stewart Blusson Quantum Matter Institute,not an actor,Academia,1
CAN,BDC Deep Tech Venture Fund,TCS,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,The Department of National Defence and Canadian Armed Forces Quantum Science and Technology (S&T) Strategy,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,Trade Commissioner Service,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,Tri-Agency EDI Action Plan,not an actor,not an actor,1
CAN,BDC Deep Tech Venture Fund,U.S. National Science Foundation,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,UK Research and Innovation (UKRI),not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,UKRI,not an actor,Government,1
CAN,BDC Deep Tech Venture Fund,University of Waterloo,not an actor,Academia,1
CAN,BDC Deep Tech Venture Fund,Université de Sherbrooke,not an actor,Academia,1
CAN,BDC Deep Tech Venture Fund,World Economic Forum,not an actor,Civil Society,1
CAN,BDC Deep Tech Venture Fund,Xanadu,not an actor,Industry,1
CAN,Bank of Canada,CERC,Government,not an actor,1
CAN,Bank of Canada,CSE,Government,Government,1
CAN,Bank of Canada,Canada Excellence Research Chairs Program,Government,not an actor,1
CAN,Bank of Canada,Canada Foundation for Innovation,Government,Government,1
CAN,Bank of Canada,Communications Security Establishment,Government,Government,1
CAN,Bank of Canada,Council,Government,not specfied,1
CAN,Bank of Canada,Creative Destruction Lab,Government,Civil Society,1
CAN,Bank of Canada,D-Wave,Government,Industry,1
CAN,Bank of Canada,DND,Government,Government,1
CAN,Bank of Canada,DRDC,Government,Government,1
CAN,Bank of Canada,Defence Research and Development Canada,Government,Government,1
CAN,Bank of Canada,Department of National Defence,Government,Government,1
CAN,Bank of Canada,European Commission,Government,Government,1
CAN,Bank of Canada,Global Affairs Canada,Government,Government,1
CAN,Bank of Canada,Government of Quebec,Government,Government,1
CAN,Bank of Canada,Horizon Europe,Government,not an actor,1
CAN,Bank of Canada,IBM,Government,Industry,1
CAN,Bank of Canada,IBM Q System One,Government,not an actor,1
CAN,Bank of Canada,IBM Quantum Hub,Government,Industry,1
CAN,Bank of Canada,IDEaS,Government,not an actor,1
CAN,Bank of Canada,IQC,Government,Academia,1
CAN,Bank of Canada,ISED,Government,Government,1
CAN,Bank of Canada,Innovation for Defence Excellence and Security,Government,not an actor,1
CAN,Bank of Canada,"Innovation, Science and Economic Development Canada",Government,Government,1
CAN,Bank of Canada,Institut Quantique,Government,Academia,1
CAN,Bank of Canada,Institute for Quantum Computing,Government,Academia,1
CAN,Bank of Canada,Internet of Things,Government,not an actor,1
CAN,Bank of Canada,Invest in Canada,Government,Government,1
CAN,Bank of Canada,Mitacs,Government,Civil Society,1
CAN,Bank of Canada,NSERC CREATE,Government,not an actor,1
CAN,Bank of Canada,National Quantum Strategy,Government,not an actor,1
CAN,Bank of Canada,PTs,Government,not an actor,1
CAN,Bank of Canada,PennyLane,Government,not an actor,1
CAN,Bank of Canada,Perimeter Institute,Government,Academia,1
CAN,Bank of Canada,Quantum Advisory Council,Government,Government,1
CAN,Bank of Canada,Quantum Industry Canada,Government,Civil Society,1
CAN,Bank of Canada,Quantum Technologies Competition,Government,not an actor,1
CAN,Bank of Canada,Quantum Valley Ideas Lab,Government,Civil Society,1
CAN,Bank of Canada,Regional Business Network,Government,not specified,1
CAN,Bank of Canada,S&T,Government,not an actor,1
CAN,Bank of Canada,S&T Strategy,Government,not an actor,1
CAN,Bank of Canada,SSHRC,Government,Government,1
CAN,Bank of Canada,Secure Networks Challenge Program,Government,not an actor,1
CAN,Bank of Canada,Sherbrooke Quantum Innovation Zone,Government,Civil Society,1
CAN,Bank of Canada,Social Sciences and Humanities Research Council,Government,Government,1
CAN,Bank of Canada,Statistics Canada,Government,Government,1
CAN,Bank of Canada,Stewart Blusson Quantum Matter Institute,Government,Academia,1
CAN,Bank of Canada,TCS,Government,Government,1
CAN,Bank of Canada,The Department of National Defence and Canadian Armed Forces Quantum Science and Technology (S&T) Strategy,Government,not an actor,1
CAN,Bank of Canada,Trade Commissioner Service,Government,Government,1
