Actor_Name,QH_Category,Connections_Count,Centrality_Score
National Quantum Strategy,Unknown,61,0.39869281045751637
Regional Business Network,Unknown,61,0.39869281045751637
GAC,Unknown,57,0.37254901960784315
FedDev Ontario,Unknown,57,0.37254901960784315
Federal Economic Development Agency for Southern Ontario,Unknown,57,0.37254901960784315
IRAP,Unknown,57,0.37254901960784315
IDEaS Innovation for Defence Excellence and Security,Unknown,57,0.37254901960784315
Government of Canada,Unknown,57,0.37254901960784315
Global Innovation Clusters,Unknown,57,0.37254901960784315
Canadian Institute for Advanced Research CIFAR,Unknown,57,0.37254901960784315
Canadian International Innovation Program,Unknown,57,0.37254901960784315
Canadian Armed Forces,Unknown,57,0.37254901960784315
Canada Economic Development for Quebec Regions,Unknown,57,0.37254901960784315
BDC,Unknown,57,0.37254901960784315
CFI,Unknown,57,0.37254901960784315
CED,Unknown,57,0.37254901960784315
C2MI,Unknown,57,0.37254901960784315
Acountry,Unknown,57,0.37254901960784315
Budget 2022,Unknown,57,0.37254901960784315
Alliance International,Unknown,57,0.37254901960784315
Employment and Social Development Canada,Unknown,57,0.37254901960784315
Commercialization Stakeholders,Unknown,57,0.37254901960784315
ESDC,Unknown,57,0.37254901960784315
EDI,Unknown,57,0.37254901960784315
Deep Tech Venture Fund,Unknown,57,0.37254901960784315
pillar RESEARCH PILLAR Research,Unknown,57,0.37254901960784315
Western Economic Diversification,Unknown,57,0.37254901960784315
WD,Unknown,57,0.37254901960784315
The National Quantum Strategy,Unknown,57,0.37254901960784315
ISC,Unknown,57,0.37254901960784315
"Immigration, Refugees and Citizenship Canada",Unknown,57,0.37254901960784315
Innovative Solutions Canada,Unknown,57,0.37254901960784315
International Summer School for Young Physicists,Unknown,57,0.37254901960784315
MiQro Innovation Collaborative Center,Unknown,57,0.37254901960784315
Mitacs Accelerate International,Unknown,57,0.37254901960784315
NQS,Unknown,57,0.37254901960784315
NRC IRAP,Unknown,57,0.37254901960784315
NRC’s Industrial Research Assistance Program,Unknown,57,0.37254901960784315
NSF,Unknown,57,0.37254901960784315
National Science Foundation,Unknown,57,0.37254901960784315
National Security Guidelines for Research Partnerships,Unknown,57,0.37254901960784315
National Security Review of Investments,Unknown,57,0.37254901960784315
Nord Quantique,Unknown,57,0.37254901960784315
PSI Start program,Unknown,57,0.37254901960784315
PacifiCan,Unknown,57,0.37254901960784315
Perimeter,Unknown,57,0.37254901960784315
PrairiesCan,Unknown,57,0.37254901960784315
Public Service Commission of Canada,Unknown,57,0.37254901960784315
QEYSSat,Unknown,57,0.37254901960784315
Quantum Algorithms Institute,Unknown,57,0.37254901960784315
Quantum Computing,Unknown,57,0.37254901960784315
Quantum Encryption and Science Satellite,Unknown,57,0.37254901960784315
REGI,Unknown,57,0.37254901960784315
Regional Economic Growth through Innovation program,Unknown,57,0.37254901960784315
SIF,Unknown,57,0.37254901960784315
Standards Council of Canada,Unknown,57,0.37254901960784315
Strategic Innovation Fund,Unknown,57,0.37254901960784315
Alberta Technology and Innovation Strategy,Unknown,31,0.20261437908496732
CFREF,Unknown,31,0.20261437908496732
CIFAR,Unknown,31,0.20261437908496732
CSA,Unknown,31,0.20261437908496732
Canada First Research Excellence Fund,Unknown,31,0.20261437908496732
Canadian Coast Guard,Unknown,31,0.20261437908496732
Canadian Space Agency,Unknown,31,0.20261437908496732
Directive on Security Management,Unknown,31,0.20261437908496732
Federal department,Unknown,31,0.20261437908496732
Global Industry Analysts Inc.,Unknown,31,0.20261437908496732
Government of Alberta,Unknown,31,0.20261437908496732
Government of British Columbia,Unknown,31,0.20261437908496732
Government of Ontario,Unknown,31,0.20261437908496732
ITB,Unknown,31,0.20261437908496732
ITB Policy,Unknown,31,0.20261437908496732
NFRF,Unknown,31,0.20261437908496732
NQS Secretariat,Unknown,31,0.20261437908496732
NRC,Unknown,31,0.20261437908496732
NSERC,Unknown,31,0.20261437908496732
National Research Council of Canada,Unknown,31,0.20261437908496732
Natural Sciences and Engineering Research Council of Canada,Unknown,31,0.20261437908496732
New Frontiers in Research Fund,Unknown,31,0.20261437908496732
Pacific Economic Development Canada,Unknown,31,0.20261437908496732
Perimeter Institute for Theoretical Physics,Unknown,31,0.20261437908496732
Prairies Economic Development Canada,Unknown,31,0.20261437908496732
Quantum Committee,Unknown,31,0.20261437908496732
STDP,Unknown,31,0.20261437908496732
Space Technology Development Program,Unknown,31,0.20261437908496732
University of Alberta,Unknown,31,0.20261437908496732
University of Calgary,Unknown,31,0.20261437908496732
University of Lethbridge,Unknown,31,0.20261437908496732
John R. Evans Leaders Fund,Unknown,3,0.0196078431372549
QRDI,Unknown,3,0.0196078431372549
Quantum Research and Development Initiative,Unknown,3,0.0196078431372549
CIIP,Unknown,1,0.006535947712418301
NSERC Alliance,Unknown,1,0.006535947712418301
