original_doc_index,entity_name,ner_label,quadruple_helix_category
0,the MiQro Innovation Collaborative Center,ORG,
0,the National Research Council,ORG,
0,the National Research Council of Canada (NRC,ORG,
0,"the Natural Sciences and Engineering 
Research Council of Canada",ORG,
0,the Natural Sciences and Engineering Research Council,ORG,
0,the Perimeter Institute,ORG,
0,the Perimeter Institute for Theoretical Physics,ORG,
0,the Quantum Algorithms Institute,ORG,
0,"the Quantum Encryption and Science 
Satellite",ORG,
0,the Quantum Research,ORG,
0,"the Regional
Business Network",ORG,
0,"the Regional Economic Growth through 
",ORG,
0,"the Social 
Sciences and",ORG,
0,"the Stewart Blusson Quantum Matter 
Institute",ORG,
0,the Tri-Agency,ORG,
0,the U.S. National Science Foundation,ORG,
0,the University of Alberta,ORG,
0,the University of Waterloo,ORG,
0,the Université de Sherbrooke,ORG,
0,"the World Economic 
Forum",ORG,
0,"the social sciences 
and humanities",ORG,
0,"university
R&D",ORG,
0,FedDev Ontario,PERSON,
0,John R. Evans Leaders Fund,PERSON,
0,Mitacs,PERSON,
0,SSHRC,PERSON,
