original_doc_index,entity_name,ner_label,quadruple_helix_category
0,• Alliance,ORG,
0,British Columbia,GPE,
0,the MiQro Innovation Collaborative Center • Alliance,ORG,
0,C2MI,ORG,
0,the Quantum Algorithms Institute,ORG,
0,CSE,ORG,
0,Agency,ORG,
0,DND,ORG,
0,the Quantum Research,ORG,
0,Development Initiative,ORG,
0,QRDI,ORG,
0,NSERC’s Alliance Quantum,ORG,
0,NSERC Alliance,ORG,
0,Alliance Quantum,ORG,
0,the Université de Sherbrooke,ORG,
0,Quantum Science,ORG,
0,DND/Canadian,ORG,
0,Science in Physics,ORG,
0,Armed Forces,ORG,
0,Quantum Leap Challenge,ORG,
0,Quantique,GPE,
0,the Stewart Blusson Quantum,ORG,
0,Pan-Canadian,NORP,
0,Mitacs,PERSON,
0,Mitacs Accelerate International,ORG,
0,EDI,ORG,
0,Alliance International,ORG,
0,"Immigration, Refugees and Citizenship",ORG,
0,Global Affairs Canada,ORG,
0,GAC,ORG,
0,Development Canada,ORG,
0,STEM-,NORP,
0,AI,GPE,
0,the Tri-Agency EDI Action Plan,ORG,
0,Alliance,ORG,
0,Alliance Canada,ORG,
0,Statistics Canada,ORG,
0,The Perimeter Institute’s,ORG,
0,Perimeter Scholars International Masters,ORG,
0,the International Summer School for Young,ORG,
0,Quantum Industry Canada,ORG,
0,Perimeter,ORG,
0,PSI,ORG,
0,Creative Destruction,PERSON,
0,Industrial Research Assistance Program,ORG,
0,Economic Development Agency,ORG,
0,FedDev Ontario,PERSON,
0,SIF,ORG,
0,BDC Deep Tech Venture Fund,ORG,
0,Canada Economic Development,ORG,
0,Quebec Regions,ORG,
0,CED,ORG,
0,International Innovation Program,ORG,
0,Vancouver,GPE,
0,D-Wave,ORG,
0,the Business Development Bank of Canada,ORG,
0,BDC,ORG,
0,Deep Tech Venture Fund,ORG,
0,Toronto,GPE,
0,"Nord
NRC’s",ORG,
0,• Enable,ORG,
0,Creating,PERSON,
0,Supporting,GPE,
0,the Regional Economic Growth,ORG,
0,REGI,ORG,
0,PrairiesCan,ORG,
0,PacifiCan,ORG,
0,The Department of National Defence,ORG,
0,Armed Forces Quantum Science and Technology,ORG,
0,S&T,ORG,
0,The S&T Strategy,ORG,
0,Innovation Clusters,ORG,
0,Quantum Committee,ORG,
0,Quantum Advisory,ORG,
0,"The NQS
Council",ORG,
0,Secretariat,ORG,
0,Council,ORG,
0,The NQS Secretariat,ORG,
0,the Government of Ontario,ORG,
0,the Perimeter Institute for Theoretical Physics,ORG,
0,"the Institute
Alberta",ORG,
0,Waterloo,PERSON,
0,the Government of Alberta,ORG,
0,the Institut Quantique de Sherbrooke,ORG,
0,Quantum City,GPE,
0,Institut Quantique,ORG,
0,IBM,ORG,
0,University of Calgary,ORG,
0,the University of Alberta,ORG,
0,University,ORG,
0,Anyon Systems,ORG,
0,Lethbridge,ORG,
0,"the Government of British Columbia
",ORG,
0,the Sherbrooke Quantum,ORG,
0,Innovation Zone,PERSON,
0,NSERC-UK Research,ORG,
0,UKRI,ORG,
0,Quantum Technologies Competition,ORG,
0,G20,ORG,
0,U.S.,GPE,
0,National Science Foundation,ORG,
0,Canadian Institute for Advanced Research,ORG,
0,the European Commission,ORG,
0,CIFAR,ORG,
0,Insufficient • Augment,ORG,
0,Canada’s • Increase,ORG,
0,GAC’s Trade Commissioner Service,ORG,
0,National Security,ORG,
0,TCS,ORG,
0,Review of Investments,ORG,
0,the Safeguarding Your Research Additionally,ORG,
0,Invest,ORG,
0,Direct Investment Attraction,ORG,
0,the Natural Sciences and Engineering Research Council,ORG,
0,the National Research Council of Canada,ORG,
0,• NSERC Alliance,ORG,
0,• Alliance Quantum,ORG,
0,• Alliance International Quantum,ORG,
0,• Alliance Consortia Quantum,ORG,
0,Quantum Research and Development Initiative,ORG,
0,Research Chairs Program,ORG,
0,• Supports Canadian,ORG,
0,• Enhances Canada’s,ORG,
0,New Frontiers,ORG,
0,Research Fund,ORG,
0,NFRF,ORG,
0,Canada Excellence Research Chairs Program,ORG,
0,CERC,ORG,
0,"Defence Research and Development
• Support",ORG,
0,DRDC,ORG,
0,• Fosters,ORG,
0,NSERC-National Science Foundation,ORG,
0,"the U.S. National Science Foundation
•",ORG,
0,NSF,ORG,
0,Innovation Fund,ORG,
0,Federal department,ORG,
0,John R. Evans Leaders Fund,PERSON,
0,Canadian International Innovation Program,ORG,
0,"Perimeter Institute for Theoretical Physics
• Leads",ORG,
0,• Mitacs,PERSON,
0,Federal Skilled Worker Program,ORG,
0,• Targets,ORG,
0,Global Talent Stream – Employment,ORG,
0,ESDC,ORG,
0,Foreign Worker Program,ORG,
0,• Designed,ORG,
0,Global Skills,ORG,
0,• Features,ORG,
0,Global Talent Occupations List,ORG,
0,Provincial Nominee Program,ORG,
0,Postdoctoral Fellowship/Research Programs,ORG,
0,• Currently,ORG,
0,"Research Affiliate Program – Public Service
Commission of Canada
• Enables",ORG,
0,"COMMERCIALIZATION PILLAR
Commercialization",PERSON,
0,• ISED’s Innovative Solutions Canada,ORG,
0,• Regional,ORG,
0,• Canada Economic Development for Quebec Regions,ORG,
0,• Federal Economic Development Agency,ORG,
0,• Prairies Economic Development Canada,ORG,
0,• Pacific Economic Development Canada,ORG,
0,The ITB Policy,ORG,
0,Canadian Coast Guard,ORG,
0,ITB Policy,ORG,
0,Space Technology Development Program,ORG,
0,Canadian Space Agency,ORG,
0,CSA,ORG,
0,Canada Trade Commissioner Service –,ORG,
0,• The Trade Commissioner Service,ORG,
0,Economic Development Canada,ORG,
0,• Supports,ORG,
0,Business Network,ORG,
0,Quantum Encryption and Science Satellite,ORG,
0,Secure Networks Challenge,ORG,
0,• Provides,ORG,
0,Deep Tech Venture Fund – Business Development,ORG,
0,Bank of Canada,ORG,
1,Germany,GPE,
1,Quantum,ORG,
1,USA,GPE,
1,China,GPE,
1,Great Britain,GPE,
1,European,NORP,
1,Japan,GPE,
1,German,NORP,
1,the Federal Government’s,ORG,
1,quantum,ORG,
1,Vision 2036,ORG,
1,Government,ORG,
1,Federal,ORG,
1,Federal Government,ORG,
1,A. Make,PERSON,
1,→All,NORP,
1,EU,ORG,
1,BMWK,ORG,
1,e. g.,PERSON,
1,BMF,ORG,
1,BMI,ORG,
1,Drive,PERSON,
1,PQC,ORG,
1,→BMI,GPE,
1,BMBF,PERSON,
1,B. Drive,ORG,
1,C. Create,PERSON,
1,Government’s ‘Future Strategy for Research,ORG,
1,info box,PERSON,
1,components11,GPE,
1,SI,ORG,
1,Google,ORG,
1,IBM,ORG,
1,National,ORG,
1,NIST,ORG,
1,NASA,ORG,
1,DARPA,ORG,
1,Federal Government’s Future Package,ORG,
1,the European Union,ORG,
1,govern-,GPE,
1,Micius,ORG,
1,Strengths Weaknesses,ORG,
1,North American,NORP,
1,Opportunities Risks,ORG,
1,non-European,NORP,
1,Federal Govern-,ORG,
1,the Federal Government,ORG,
1,The Federal Government,ORG,
1,the Expert Commission on Research and Innovation17,ORG,
1,The Federal Government’s,ORG,
1,DLR,ORG,
1,Quantum Computing,ORG,
1,tive,ORG,
1,the Federal Germany,ORG,
1,DeepTech & Climate Fonds,ORG,
1,DTCF,ORG,
1,the Future Fund,ORG,
1,High-Tech Gründerfonds,ORG,
1,Centre,GPE,
1,EUR,ORG,
1,AI,GPE,
1,Societal,ORG,
1,CO emission.26 Even,ORG,
1,Computing,PERSON,
1,Mobility,PERSON,
1,Big Data,ORG,
1,Bundeswehr,GPE,
1,Federal Armed Forces,ORG,
1,Quantum Computing Technology,ORG,
1,miniaturisa- and,ORG,
1,International,ORG,
1,"Focus
Group",ORG,
1,Joint Technical,ORG,
1,CEN-CENELEC,ORG,
1,DIN,ORG,
1,"stages,33 e. g.",PERSON,
1,Russian,NORP,
1,Ukraine,GPE,
1,applications.36,ORG,
1,industry40,ORG,
1,Tailor,PERSON,
1,the Gauss Centre for Supercomputing,ORG,
1,Bottlenecks,ORG,
1,DeepTech & Cli-,ORG,
1,"Fonds, Federal Agency",ORG,
1,Disruptive,ORG,
1,Awaken,ORG,
1,"Quantum Future,50",ORG,
1,"commissions,54 academies55",PERSON,
1,associations56,ORG,
1,Overall,PERSON,
1,HPC,ORG,
1,Annex,PERSON,
1,the Quantum Flagship,ORG,
1,Horizon,ORG,
1,Digital Europe,ORG,
1,the EU Commission,ORG,
1,ESA,ORG,
1,pan-European,NORP,
1,the Framework Partnership Agreement for ‘,ORG,
1,Computing Initiative,PERSON,
1,al Government,ORG,
1,Resource,ORG,
1,ly co-financed,PERSON,
1,Characterisation,PERSON,
1,Digital Strategy,ORG,
1,Future Research and Innovation Strategy,ORG,
1,Digital,ORG,
1,Federal Government68 Federal Government’s,ORG,
1,BMBF Research Programme,ORG,
1,Quantum BMBF Research Programme,ORG,
1,the Federal Ministry,ORG,
1,the Gauss Centre,ORG,
1,Supercomputing,GPE,
1,the Framework Programme,ORG,
1,quantum mechanics,ORG,
1,Cyber Security Strategy,ORG,
1,The Cyber Security Strategy,ORG,
1,"the European Cybersecurity
PlanQK",ORG,
1,Artificial Intelligence,ORG,
1,Cloud,PERSON,
1,Intelligence,ORG,
1,the Cybersecurity Strategy,ORG,
1,The Federal Government’s Space Programme75,ORG,
1,the Space Agency,ORG,
1,the National Programme for Space and Innovation,ORG,
1,Agentur,NORP,
1,Cybersicherheit,PERSON,
1,ISO/IEC,ORG,
1,WG2,PERSON,
1,BSI,ORG,
1,ISO,ORG,
1,Studie Entwicklungsstand,PERSON,
1,Sicherheit,GPE,
1,Federal Office for Information,ORG,
1,Entwicklungsstand Quantencomputer,ORG,
1,NISQ,ORG,
1,Intermediate Scale Quantum,ORG,
1,Kryptobibliothek,PERSON,
1,Botan,GPE,
1,BSI Pflege,ORG,
1,"Weiter-
entwicklung",PERSON,
1,QKD,ORG,
1,BSI Integration von Post-Quanten,ORG,
1,Kryptografie,NORP,
1,E-Mail-Client Thunderbird,ORG,
1,derbird,PERSON,
1,P,ORG,
1,Bundesanstalt [National Metrology Institute,ORG,
1,PTB,ORG,
1,Deutschland,GPE,
1,Quantum Communication,ORG,
1,Draft,PERSON,
1,Communication Germany,GPE,
1,the Internet Engineering Task Force,ORG,
1,Quantum Computer Resistant,ORG,
1,Maurer Electronics GmbH,ORG,
1,Berlin,GPE,
1,the Bundesdruckerei Group,ORG,
1,the European Telecommunications,ORG,
1,Standards Institute,ORG,
1,ETSI,ORG,
1,Common Criteria,PERSON,
1,the Federal Data Atlas,ORG,
1,Federal AI Competence Centre,ORG,
1,Bundesdruckerei,PERSON,
1,Bundesquantenallianz,ORG,
1,BQA,ORG,
1,"the Federal
Government",ORG,
1,PlanQK,NORP,
1,BWI,ORG,
1,Quantum Technologies,ORG,
1,Federal Administration,ORG,
1,the Federal Ministry of Finance,ORG,
1,Centre Quantum Enabled,ORG,
1,the Innovation & Technology,ORG,
1,"Deutsche Forschungsgemeinschaft e. V.
",PERSON,
1,German Research Foundation,ORG,
1,DFG,ORG,
1,the Research Training Group Doctoral Experts,ORG,
1,German Weather Service,ORG,
1,DWD,ORG,
1,Weather,PERSON,
1,Clusters of Excellence.77,ORG,
1,ICON,ORG,
1,"Max Planck
Research Centres",ORG,
1,Research Training Groups,PERSON,
1,Clusters Institut,ORG,
1,Computing Center,PERSON,
1,Karlsruhe Institute,ORG,
1,Technologe,ORG,
1,KIT,ORG,
1,the European Research Area,ORG,
1,ERA-Net QuantERA,ORG,
1,Cyber Defence,ORG,
1,Smart Data Research Institute,ORG,
1,the University of the Bundeswehr,ORG,
1,Munich,GPE,
1,The Fraunhofer-Gesellschaft,ORG,
1,Fraunhofer-Gesellschaft,ORG,
1,Förderung,ORG,
1,Forschung e. V. [Fraunhofer Society,PERSON,
1,the Promotion of Applied Research,ORG,
1,FhG,ORG,
1,QUILT,ORG,
1,Complementary,PERSON,
1,the Fraunhofer-Gesellschaft,ORG,
1,IP rights & IP,ORG,
1,German-European,NORP,
1,Mikroelektronik Deutschland,ORG,
1,FMD,ORG,
1,Neuromorphic Computing,ORG,
1,Helmholtz-Gemeinschaft Deutscher,ORG,
1,Forschungszentren e. V.,PERSON,
1,German Research Centres,ORG,
1,HGF,ORG,
1,The Helmholtz Centres,ORG,
1,Helmholtz,ORG,
1,Together,ORG,
1,the Helmholtz Association,ORG,
1,Helmholtz Association,ORG,
1,Hamburg,GPE,
1,Ulm,ORG,
1,Max-Planck-Gesellschaft,ORG,
1,Wissenschaften e. V.,PERSON,
1,Max Planck Society,ORG,
1,Advancement of Science,ORG,
1,The Max Planck Society,ORG,
1,QST,ORG,
1,the Max Planck Institute,ORG,
1,Quantum Optics,ORG,
1,Garching,GPE,
1,MPI,ORG,
1,Physics,ORG,
1,Hanover,GPE,
1,the Physics of Complex Systems,ORG,
1,Dresden,GPE,
1,Erlangen,ORG,
1,"the Max Planck Institutes
∙ Development",ORG,
1,Solid State Research,ORG,
1,Stuttgart,GPE,
1,Science in Saarbrücken,ORG,
1,Nuclear Physics,ORG,
1,Multidisciplinary Natural Sciences,ORG,
1,Chemical Solid-state Physics,ORG,
1,Microstructure Physics,ORG,
1,Halle,GPE,
1,Mathematics,NORP,
1,Science,GPE,
1,Leipzig,GPE,
1,Intelligent Systems,ORG,
1,Europe.81 gen,PERSON,
1,Bochum,GPE,
1,Fritz Haber Institute,ORG,
1,MPG,ORG,
1,Max Planck Quantum Alliance,ORG,
1,"Garching,",ORG,
1,Tübingen,ORG,
1,Saarbrücken,ORG,
1,Munich Quantum Valley,ORG,
1,Heidelberg,ORG,
1,Quantum Valley,ORG,
1,"Physikalisch-Technische Bundesanstalt
Bavaria",ORG,
1,National Metrology Institute of Germany,ORG,
1,the Bavarian Academy,ORG,
1,"the Federal
of Sciences and Humanities",ORG,
1,BAdW,PERSON,
1,the Ludwig- Institute of Metrology (PTB,ORG,
1,Maximilians,NORP,
1,LMU,ORG,
1,Universität München,PERSON,
1,TUM,ORG,
1,Alexander-Universität Erlangen-Nürnberg,ORG,
1,Fraunhofer Gesellschaft,PERSON,
1,the German Aerospace,ORG,
1,the MQV Association,ORG,
1,Bavaria,GPE,
1,Federal Ministry of Education and Research,ORG,
1,Quantum Technologies Stimulus Package,ORG,
1,Federal Ministry for Economic Affairs,ORG,
1,MQV,ORG,
1,QT,ORG,
1,Quantum Technology Competence,ORG,
1,Quantentechnologien,ORG,
1,Grundlagen,PERSON,
1,Airbus,ORG,
1,BMW,ORG,
1,Fujitsu,ORG,
1,Huawei,ORG,
1,Infineon,GPE,
1,Menlo Systems,ORG,
1,Microsoft,ORG,
1,OHB,ORG,
1,Siemens,ORG,
1,Toptica Photonics,PERSON,
1,Volkswagen,ORG,
1,QTZ,ORG,
1,Quantum Valley Lower,ORG,
1,Saxony,PERSON,
1,QVLS,ORG,
1,Lower Saxony,GPE,
1,the Focus Group,ORG,
1,Joint Technical Committee,ORG,
1,future micro-,ORG,
1,the Leibniz Association,ORG,
1,the Ferdinand Braun Institute,ORG,
1,Leibniz Institute for Highest Frequency Technology,ORG,
1,Wissenschaftsgemeinschaft Gottfried Wilhelm,ORG,
1,the Leibniz Institute for Solid State,ORG,
1,Leibniz e. V.,PERSON,
1,Leibniz Association,ORG,
1,IFW,ORG,
1,the Leibniz Institute for Innova-,ORG,
1,the Leibniz Institute,ORG,
1,Crystal Growth,ORG,
1,the Leibniz Institute for Surface,ORG,
1,the Leibniz Institute for Photonic,ORG,
1,the Paul Drude Institute for Solid,ORG,
1,State Electronics,ORG,
1,PDI,ORG,
1,the Weierstrass Institute,ORG,
1,Applied Analysis and Stochastics,ORG,
1,Leibniz,ORG,
1,Individual Leibniz,PERSON,
1,Leibniz Institutes,ORG,
1,micro-,PERSON,
1,"the
European Research Area",ORG,
1,Zentrum,PERSON,
1,Digitalisierungs-,ORG,
1,Digitisation and Technology Research,ORG,
1,the German Armed Forces,ORG,
1,Corona,GPE,
1,Wohlstand,GPE,
1,Zukun-,PERSON,
1,Securing Prosperity,ORG,
1,the Research Factory Microelectronics Germany,ORG,
1,the Solid State,GPE,
1,NIQC-SC,ORG,
1,Munich Quantum Valley Quantum,ORG,
1,BECCAL,ORG,
1,Bose-Einstein Condensate,PERSON,
1,"Glossary
Defects",ORG,
1,NV,ORG,
1,atomic transitions,PERSON,
1,Describes,PERSON,
1,Refers,ORG,
1,ropean Union,ORG,
1,American,NORP,
2,UK,GPE,
2,Quantum,ORG,
2,"the Department for Science, Innovation and Technology",ORG,
2,AI,GPE,
2,"the National
Quantum Technologies Programme",ORG,
2,Britain,GPE,
2,The Rt Hon Michelle Donelan,PERSON,
2,"State for Science, Innovation and Technology
Executive Summary",ORG,
2,the Integrated Review Refresh,ORG,
2,US,GPE,
2,South Wales,GPE,
2,Scotland,GPE,
2,Innovate,ORG,
2,"the National Physical
Laboratory",ORG,
2,"the National Quantum Technologies
Programme",ORG,
2,• Drive,PERSON,
2,the National Science and Technology Council,ORG,
2,quantum computing,ORG,
2,the Technical Annex,ORG,
2,the National Quantum Computing Centre,ORG,
2,PNT,ORG,
2,National Quantum Computing Centre,ORG,
2,Partnerships Fund,ORG,
2,quantum,ORG,
2,Quantum Skills Taskforce,ORG,
2,Showcase,ORG,
2,Protect,ORG,
2,National Security Investment Act,ORG,
2,Establish the Office for Quantum,ORG,
2,"the Department for Science, Innovation
and Technology",ORG,
2,National Quantum Technologies Programme,ORG,
2,Advisory Board,ORG,
2,Peter Knight,PERSON,
2,the Institute of Physics,ORG,
2,"the
Institution of Engineering and Technology",ORG,
2,techUK,GPE,
2,the Royal Academy,ORG,
2,UKQuantum,ORG,
2,Quantum Technologies,ORG,
2,HPC,ORG,
2,Artur Ekert,PERSON,
2,The National Quantum Technologies Programme,ORG,
2,NQTP,ORG,
2,the Quantum Research Hubs,ORG,
2,Physical Sciences Research Council,ORG,
2,EPSRC,ORG,
2,Hubs,PERSON,
2,"the Commercialising Quantum Technologies
Challenge",ORG,
2,NQCC,ORG,
2,UKRI,ORG,
2,UK;10,GPE,
2,The Quantum Metrology Institute,ORG,
2,the National Physical Laboratory,ORG,
2,NPL,ORG,
2,• A Quantum Technologies for Fundamental Physics,ORG,
2,• Investments,ORG,
2,Centres for Doctoral Training,ORG,
2,MoD,GPE,
2,"Defence Science and Technology
Laboratory",ORG,
2,The National Quantum Computing Centre,ORG,
2,STFC,ORG,
2,Rutherford Appleton Laboratory,ORG,
2,Oxfordshire,GPE,
2,Computing Centre,PERSON,
2,Harwell,PERSON,
2,Teddington,ORG,
2,the Fraunhofer Centre for Applied Photonics,ORG,
2,Glasgow,GPE,
2,the Universities of York,GPE,
2,Birmingham,GPE,
2,Oxford,ORG,
2,The National Hubs,ORG,
2,Quantum Key Distribution,ORG,
2,Quantum Sensors,ORG,
2,UK National Quantum Hub in Sensors and,ORG,
2,RSK,ORG,
2,Teledyne e2V,PERSON,
2,London,GPE,
2,Commercialising Quantum Challenge,ORG,
2,technologies16,GPE,
2,China,GPE,
2,the European Union19,ORG,
2,"year,20",GPE,
2,Japan,GPE,
2,Science and Technology Framework,ORG,
2,Science and Technology Superpower,ORG,
2,"The Science and Technology
Framework",ORG,
2,S&T,ORG,
2,Framework,ORG,
2,This National Quantum Strategy,ORG,
2,Research and Development,ORG,
2,Government,ORG,
2,Quantum Technology,ORG,
2,Research Hubs,PERSON,
2,Centres,ORG,
2,• Accelerator,ORG,
2,• Training,PERSON,
2,• International,ORG,
2,• Infrastructure,ORG,
2,"the National
Quantum Computing Centre",ORG,
2,National Physical Laboratory,ORG,
2,• Underpinning,ORG,
2,"Position Navigation &
Timing",ORG,
2,"Skills
Access",ORG,
2,the US National Science and Technology Council,ORG,
2,EPSRC’s Centres for Doctoral Training,ORG,
2,"the Defence Science and Technology
Laboratory",ORG,
2,"Fellowships
Quantum",ORG,
2,The EPSRC Open Fellowship,ORG,
2,Visa,ORG,
2,The High Potential Individual Route,ORG,
2,the Royal Society,ORG,
2,the Institution of Engineering & Technology,ORG,
2,IET,ORG,
2,IoP,ORG,
2,The UK Science and Technology Framework,ORG,
2,STEM,PERSON,
2,Talent,ORG,
2,Skills,ORG,
2,"The
Department for Education",ORG,
2,the Quantum Skills Taskforce,ORG,
2,STEM Learning’s Quantum,ORG,
2,• Deliver,PERSON,
2,the United States,GPE,
2,India,GPE,
2,the National Quantum Technologies Programme,ORG,
2,"International Partnerships
Quantum",ORG,
2,The Quantum Technologies for Fundamental Physics,ORG,
2,QTFP,ORG,
2,• Collaborate,ORG,
2,the Quantum Tech,ORG,
2,"Societal Good
section",ORG,
2,IP,ORG,
2,OECD,ORG,
2,Global Technology Forum,ORG,
2,the World Economic Forum,ORG,
2,G7,GPE,
2,NATO,ORG,
2,"the Institute of Electrical and Electronics Engineers
Standards Association",ORG,
2,"International Organization for Standardization and International
Electrotechnical Commission",ORG,
2,Innovation Network,PERSON,
2,UK International Tech Strategy,ORG,
2,• Engage,PERSON,
2,"International
Science Partnerships Fund",ORG,
2,"the World
Economic Forum",ORG,
2,NIST,ORG,
2,Canadian,NORP,
2,European,NORP,
2,Quantum Motion,ORG,
2,Quantum Insider,ORG,
2,Robert Bosch Venture Capital,PERSON,
2,British Patient Capital,ORG,
2,Success,ORG,
2,the Institute of Engineering and Technology,ORG,
2,the National Dark Fibre Facility,ORG,
2,Edinburgh,GPE,
2,the Hartree Centre,ORG,
2,"the National Centre for Digital
Innovation",ORG,
2,IBM,ORG,
2,Glentanglement®,PERSON,
2,Coherent Scotland,ORG,
2,the James Watt Nanofabrication Centre,ORG,
2,"the University of
Glasgow",ORG,
2,the Li-Fi Centre,ORG,
2,the University of Strathclyde,ORG,
2,the Fraunhofer Centre for Applied Photonics UK,ORG,
2,"the
University of Strathclyde",ORG,
2,the Quantum Imaging Hub,ORG,
2,the University of Glasgow,ORG,
2,the Universities of,GPE,
2,Heriot-Watt,ORG,
2,Strathclyde,PERSON,
2,Commercialising Quantum Technologies Programme,ORG,
2,Scottish,NORP,
2,UK Quantum Technologies Challenge,ORG,
2,Wales,ORG,
2,CS,ORG,
2,CSconnected,ORG,
2,the UKRI Strength in Places Fund,ORG,
2,"the Institute for Compound
Semiconductors",ORG,
2,Cardiff University,ORG,
2,the Centre for Integrated Semiconductor Materials,ORG,
2,Swansea University,ORG,
2,The CS Centre,ORG,
2,The CS Applications Catapult,ORG,
2,IQE,ORG,
2,KLA,ORG,
2,"Microchip
Technology",ORG,
2,National Quantum Foundry,ORG,
2,Quantum Computing,ORG,
2,• Commission,ORG,
2,the Royal Academy of Engineering,ORG,
2,• Produce,PERSON,
2,Fraunhofer Centre,PERSON,
2,CAP,ORG,
2,"the
Technology & Innovation Centre, University of Strathclyde",ORG,
2,Fraunhofer CAP,PERSON,
2,Optical Ground Receivers,ORG,
2,Fraunhofer,PERSON,
2,Digital,ORG,
2,the Intellectual Property Office,ORG,
2,IPO,ORG,
2,International IP Service,ORG,
2,• Testing,ORG,
2,the National Protective Security Agency,ORG,
2,NPSA,ORG,
2,the National Cyber Security Centre,ORG,
2,"the
Department for Business and Trade",ORG,
2,DBT,ORG,
2,France,GPE,
2,Germany,GPE,
2,post-Brexit,ORG,
2,The British Business Bank,ORG,
2,Bank,ORG,
2,COVID-19,ORG,
2,Future Fund,ORG,
2,the Future Fund,ORG,
2,Breakthrough,PERSON,
2,The National Security Strategic Investment Fund,ORG,
2,NSSIF,ORG,
2,"British
Technology Investments Limited",ORG,
2,Business and Trade,ORG,
2,PsiQuantum,ORG,
2,Daresbury,ORG,
2,England,GPE,
2,"the Hartree National Centre for Digital
Innovation",ORG,
2,the Department for Business and Trade,ORG,
2,the Catalyst Fund,ORG,
2,Supporting,GPE,
2,the Future of Compute,ORG,
2,Quantum Software Laboratory,ORG,
2,the University of Edinburgh,ORG,
2,Oxford Quantum Circuits,ORG,
2,OQC,ORG,
2,the Small Business Research Initiative,ORG,
2,"the National Security Strategic
Investment Fund",ORG,
2,Defence,ORG,
2,MOD,ORG,
2,The MOD Science & Technology Strategy,ORG,
2,• Raise,ORG,
2,• Dedicate,PERSON,
2,the Crick Institute,ORG,
2,Faraday Institution,ORG,
2,Position Navigation & Timing,ORG,
2,Government User Group,ORG,
2,• Agile,ORG,
2,the World Trade Organisation,ORG,
2,G20,ORG,
2,the Council of Europe,ORG,
2,Commonwealth,ORG,
2,UN,ORG,
2,the International Telecommunications Union,ORG,
2,the Regulatory Horizons Council,ORG,
2,the National Security Investment Act,ORG,
2,NCSC,ORG,
2,The Academic Technology Approval Scheme,ORG,
2,ATAS,ORG,
2,Advanced Conventional Military Technology,ORG,
2,The National Security and Investment Act,ORG,
2,NSIA,ORG,
2,Export Controls,ORG,
2,ECJU,ORG,
2,"the Wassenaar
Arrangement",ORG,
2,The National Cyber Security Centre,ORG,
2,White Paper,ORG,
2,QKD,ORG,
2,International Organization for Standardization (,ORG,
2,ISO,ORG,
2,International Electrotechnical Commission,ORG,
2,IEC,ORG,
2,International Telecommunication Union,ORG,
2,Engineering Task Force,ORG,
2,the European Telecommunications Standards Institute,ORG,
2,ETSI,ORG,
2,"the Institute of Electrical
and Electronics Engineers",ORG,
2,the British Standards Institute,ORG,
2,quantum technical standards development,ORG,
2,International Standards Development Organisations,ORG,
2,"The National
Physical Laboratory",ORG,
2,the Research Hubs,ORG,
2,"the National Institute of Standards
and Technology",ORG,
2,The British Standards Institute,ORG,
2,BSI,ORG,
2,ISO/IEC,ORG,
2,CEN/CENELEC,ORG,
2,ISO/IEC/JTC 1/,ORG,
2,Focus Group,ORG,
2,FGQT,ORG,
2,Quantum Challenge,ORG,
2,Quantum Testing and Evaluation,ORG,
2,QTE,ORG,
2,the Cyber Security Strategy 2022,ORG,
2,the Digital Security,ORG,
2,Quantum Metrology Institute,ORG,
